Sep 05, 2023 5:21:57 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /xipki-mgmt-cli/lock
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-09-05T17:22:06,547 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.objectweb.asm.util/9.4.0
2023-09-05T17:22:06,554 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.objectweb.asm.commons/9.4.0
2023-09-05T17:22:06,561 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.aries.proxy/1.1.13
2023-09-05T17:22:06,583 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.aries.blueprint.api/1.0.1
2023-09-05T17:22:06,589 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.aries.blueprint.core/1.10.3
2023-09-05T17:22:06,644 | INFO  | features-3-thread-1 | BlueprintExtender                 181 | 21 - org.apache.aries.blueprint.core - 1.10.3 | No quiesce support is available, so blueprint components will not participate in quiesce operations
2023-09-05T17:22:06,834 | INFO  | features-3-thread-1 | BlueprintContainerImpl            446 | 21 - org.apache.aries.blueprint.core - 1.10.3 | Blueprint bundle org.apache.aries.blueprint.core/1.10.3 has been started
2023-09-05T17:22:06,835 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.aries.blueprint.cm/1.3.2
2023-09-05T17:22:06,867 | INFO  | features-3-thread-1 | BlueprintContainerImpl            446 | 21 - org.apache.aries.blueprint.core - 1.10.3 | Blueprint bundle org.apache.aries.blueprint.cm/1.3.2 has been started
2023-09-05T17:22:06,870 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.jline/3.21.0
2023-09-05T17:22:06,877 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.shell.core/4.4.3
2023-09-05T17:22:07,006 | INFO  | features-3-thread-1 | CommandExtension                  146 | 29 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.config.core/4.4.3
2023-09-05T17:22:07,279 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.shell.commands/4.4.3
2023-09-05T17:22:07,330 | INFO  | features-3-thread-1 | CommandExtension                  146 | 29 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.shell.commands/4.4.3
2023-09-05T17:22:07,332 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.bundle.core/4.4.3
2023-09-05T17:22:07,409 | INFO  | features-3-thread-1 | CommandExtension                  146 | 29 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.bundle.core/4.4.3
2023-09-05T17:22:07,410 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.features.command/4.4.3
2023-09-05T17:22:07,450 | INFO  | features-3-thread-1 | CommandExtension                  146 | 29 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.features.command/4.4.3
2023-09-05T17:22:07,452 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.bundle.blueprintstate/4.4.3
2023-09-05T17:22:07,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.log.core/4.4.3
2023-09-05T17:22:07,493 | INFO  | features-3-thread-1 | CommandExtension                  146 | 29 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.log.core/4.4.3
2023-09-05T17:22:07,499 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 | Done.
2023-09-05T17:22:07,502 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 | Adding features: xipki-ocsp-mgmt/[6.3.0,6.3.0],xipki-ca-mgmt/[6.3.0,6.3.0]
2023-09-05T17:22:08,608 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 | Changes to perform:
2023-09-05T17:22:08,608 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   Region: root
2023-09-05T17:22:08,609 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |     Bundles to install:
