Sep 05, 2023 5:17:21 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /xipki-cli/lock
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-09-05T17:17:28,337 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.ow2.asm/asm/9.4
2023-09-05T17:17:28,387 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.ow2.asm/asm-commons/9.4
2023-09-05T17:17:28,438 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.ow2.asm/asm-tree/9.4
2023-09-05T17:17:28,481 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.ow2.asm/asm-analysis/9.4
2023-09-05T17:17:28,521 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.ow2.asm/asm-util/9.4
2023-09-05T17:17:28,561 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.6.12/jar/uber
2023-09-05T17:17:29,580 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 | Refreshing bundles:
2023-09-05T17:17:29,581 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |     org.apache.karaf.config.core/4.4.3 (Should be wired to: org.apache.karaf.shell.core/4.4.3 (through [org.apache.karaf.config.core [11](R 11.0)] osgi.wiring.package; (&(osgi.wiring.package=org.apache.karaf.shell.api.action)(version>=4.4.0)(!(version>=5.0.0)))))
2023-09-05T17:17:29,730 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 | Starting bundles:
2023-09-05T17:17:29,732 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.ops4j.pax.url.wrap/2.6.12
2023-09-05T17:17:29,749 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.config.core/4.4.3
2023-09-05T17:17:29,763 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.objectweb.asm/9.4.0
